구분,내용,관련 캠페인,신규여부,신규시트
신규미션 대상 모드,Squad Battles / Rivals / Champions / Live Events,-,N,
최소 필요경기,10경기,-,N,
플레이 요건,Win 7,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
,Play 10,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
필수 선발 요건,NWSL ≥1,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
,TOTS ≥1,Silver TOTS HM: Arsène Kouassi (마감 5/16 02:00),Y,New_Report_05
,USA ≥2,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
교체로 투입해도 가능,Ligue 1,Silver TOTS HM: Arsène Kouassi (마감 5/16 02:00),Y,New_Report_05
,RW,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
To do (득점),Ligue 1: 2경기 각 Goal 1회,Silver TOTS HM: Arsène Kouassi (마감 5/16 02:00),Y,New_Report_05
,Any: Goal 4회,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
,NWSL: 5경기 각 Goal 1회,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
To do (어시스트),RW: Assist 4회,TOTS HM: NWSL Grind (마감 5/16 02:00),Y,New_Report_05
To do (기타),-,-,N,
