Completed,Is_New,Campaign,Campaign_Expires,Campaign_Deadline_KST,Mission_Name,Starting_XI,Performer_Candidates,Goals,Assists,Other_Actions,Results,Min_Matches,Per_Match,Difficulty
,No,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Play 2,ROSHN Saudi League ≥1,-,-,-,-,Play 2,2,No,
,No,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Assist 4,-,French,-,French: Assist 4회,-,-,1,No,Min. Semi-Pro
,No,Silver TOTS HM Valentin Atangana - EA SPORTS FC 26 Objectives,Expires in 6 days,5/14 02:00,Win 2,ROSHN Saudi League ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro
,No,A Few of my Favourite Things - EA SPORTS FC 26 Objectives,Expires in 21 days,5/29 02:00,Play 5 Live Events,-,-,-,-,-,Play 5,5,No,
,No,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,Play 6,Saudi Arabia ≥1,-,-,-,-,Play 6,6,No,Min. Semi-Pro
,No,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,Assist 4,-,Midfielder,-,Midfielder: Assist 4회,-,-,1,No,Min. Semi-Pro
,No,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,Keep It Tight,ROSHN Saudi Pro League ≥1,-,-,-,-,-,1,Yes,Min. Semi-Pro
,No,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,Win 6,Saudi Arabia ≥2,-,-,-,-,Win 6,6,No,Min. Semi-Pro
,No,TOTS HM Musab Al-Juwair - EA SPORTS FC 26 Objectives,Expires in 3 days,5/11 02:00,Score 10,-,Saudi Arabia,Saudi Arabia: Goal 10회,-,-,-,1,No,Min. Semi-Pro
,No,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,Win 2,Bundesliga ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro
,No,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,Score in 2,-,Germany,Germany: 2경기 각 Goal 1회,-,-,-,2,Yes,Min. Semi-Pro
,No,Silver TOTS HM Ilyas Ansah - EA SPORTS FC 26 Objectives,Expires in 2 days,5/10 02:00,Play 2,Bundesliga ≥1,-,-,-,-,Play 2,2,No,
,No,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Score in 5,-,CONMEBOL Libertadores,CONMEBOL Libertadores: 5경기 각 Goal 1회,-,-,-,5,Yes,Min. Semi-Pro
,No,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Win 7,Uruguay ≥2,-,-,-,-,Win 7,7,No,Min. Semi-Pro
,No,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,4 Clean sheets,CONMEBOL Libertadores ≥1,-,-,-,Clean Sheet 4,-,4,No,Min. Semi-Pro
,No,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Assist 4,-,Defender,-,Defender: Assist 4회,-,-,1,No,Min. Semi-Pro
,No,TOTS HM Sebastián Coates - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Play 10,Uruguay ≥1,-,-,-,-,Play 10,10,No,Min. Semi-Pro
,No,Silver TOTS HM Lotta Wrede - EA SPORTS FC 26 Objectives,Expires in 2 hours,5/8 04:00,Win 2,Germany ≥1,-,-,-,-,Win 2,2,No,Min. Semi-Pro
